Kompozice,Cena,Lokalita,Velikost,Velikost_s_jednotkou
2+kk,9350.0,"Budovatelská, Ostrava - Poruba",41,41 m²
2+kk,9500.0,"Dělnická, Ostrava - Poruba",38,38 m²
2+1,11500.0,"Bohuslava Martinů, Ostrava - Poruba",54,54 m²
3+1,12350.0,"náměstí Jana Nerudy, Ostrava - Poruba",75,75 m²
3+kk,16000.0,"Porubská, Ostrava - Poruba",63,63 m²
2+1,11400.0,"Porubská, Ostrava - Poruba",58,58 m²
2+kk,13950.0,"Komenského, Ostrava - Poruba",45,45 m²
2+1,10700.0,"Havanská, Ostrava - Poruba",55,55 m²
3+1,13990.0,"Zborovská, Ostrava - Moravská Ostrava",85,85 m²
3+1,18000.0,Horní Lhota,73,73 m²
